"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","name","description"
185,71,1,"1000342",pdoeleman,2014-11-06 13:57:24,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,Micromix,Micromix
186,72,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,"0:1:6 'G'","0:1:6 'G'"
187,73,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,"1:1:0 'G' (Sask)","1:1:0 'G' (Sask)"
188,74,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,"1:1:12 'G' (Sask)","1:1:12 'G' (Sask)"
189,75,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,"1:1:2 'G' (Sask)","1:1:2 'G' (Sask)"
190,76,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,"1:1:4 'G' (Sask)","1:1:4 'G' (Sask)"
191,77,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,"1:1:6 'G' (Sask)","1:1:6 'G' (Sask)"
192,78,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,"1:1:8 'G' (Sask)","1:1:8 'G' (Sask)"
193,79,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,"2:1:0 'G' (Sask)","2:1:0 'G' (Sask)"
194,80,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,"2:1:12 'G' (Sask)","2:1:12 'G' (Sask)"
195,81,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,"2:1:2 'G'","2:1:2 'G'"
196,82,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,"2:1:2 'G' (Sask)","2:1:2 'G' (Sask)"
197,83,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,"2:1:4 'G'","2:1:4 'G'"
198,84,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,"2:1:4 'G' (Sask)","2:1:4 'G' (Sask)"
199,85,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,"2:1:6 'G'","2:1:6 'G'"
200,86,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,"2:1:6 'G' (Sask)","2:1:6 'G' (Sask)"
201,87,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,"2:1:8 'G'","2:1:8 'G'"
202,88,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,"2:1:8 'G' (Sask)","2:1:8 'G' (Sask)"
205,89,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,Expandomix HT (SK),Expandomix HT (SK)
206,90,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,iGain (SK),iGain (SK)
207,91,1,"29747",awang,2017-05-29 11:12:19,3,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,iPrime (SK),iPrime (SK)
209,92,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,LITEmix 1325 (AB),LITEmix 1325 (AB)
210,93,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,LITEmix 1325 (SK),LITEmix 1325 (SK)
211,94,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,LITEmix 1400 (AB),LITEmix 1400 (AB)
212,95,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,LITEmix 1400 (SK),LITEmix 1400 (SK)
