"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","name","description","IsThirdPartyProvided","IsFreightCostIncluded","PriceCode","InventoryNumber"
95,86,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"1:1:2 'G' (Sask)","1:1:2 'G' (Sask)",0,0,113002,""
96,87,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"1:1:4 'G'","1:1:4 'G'",0,0,113002,""
97,88,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"1:1:4 'G' (Sask)","1:1:4 'G' (Sask)",0,0,113002,""
98,89,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"1:1:6 'G'","1:1:6 'G'",0,0,113002,""
99,90,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"1:1:6 'G' (Sask)","1:1:6 'G' (Sask)",0,0,113002,""
100,91,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"1:1:8 'G'","1:1:8 'G'",0,0,113002,""
101,92,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"1:1:8 'G' (Sask)","1:1:8 'G' (Sask)",0,0,113002,""
102,93,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"2:1:0 'G'","2:1:0 'G'",0,0,,""
103,94,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"2:1:0 'G' (Sask)","2:1:0 'G' (Sask)",0,0,,""
104,95,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"2:1:12 'G'","2:1:12 'G'",0,0,,""
105,96,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"2:1:12 'G' (Sask)","2:1:12 'G' (Sask)",0,0,,""
106,97,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"2:1:2 'G'","2:1:2 'G'",0,0,,""
107,98,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"2:1:2 'G' (Sask)","2:1:2 'G' (Sask)",0,0,,""
108,99,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"2:1:4 'G'","2:1:4 'G'",0,0,,""
109,100,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"2:1:4 'G' (Sask)","2:1:4 'G' (Sask)",0,0,,""
110,101,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"2:1:6 'G'","2:1:6 'G'",0,0,,""
