"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","Name","Description","BlendChemicalName","Abbreviation","BlendRecipeName","BlendRecipeDescription","BlendChemicalDescription","IsBaseBlend","BlendRecipeId","AdditionMethod","UnitSystemId","AdditiveBlendMethod","UnitId","UnitDescription","UnitName","BlendChemicalSystemId","BlendRecipeSystemId","BlendChemicalId","Amount"
83,79,1,"0","",2018-09-28 18:10:54,1,2017-09-28 18:10:54,9999-12-31 23:59:59,0,36,,,Class G,%,EXPANDOmix PRO HT (Sask),,"",1,36,2,81,1,1,,Percent,3,36,3,520.00
89,85,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,37,,,Class G,%,EXPANDOmix PRO LT,,"",1,37,2,81,1,1,,Percent,3,37,3,530.00
95,91,1,"0","",2018-09-28 18:10:54,1,2017-09-28 18:10:54,9999-12-31 23:59:59,0,38,,,Class G,%,EXPANDOmix PRO LT (Sask),,"",1,38,2,81,1,1,,Percent,3,38,3,530.00
101,97,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,39,,,Class G,%,Expandomix HT,,"",1,39,2,81,1,1,,Percent,3,39,3,593.00
107,103,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,40,,,Class G,%,Expandomix HT (SK),,"",1,40,2,81,1,1,,Percent,3,40,3,593.00
113,109,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,41,,,Class G,%,Expandomix LWL,,"",1,41,2,81,1,1,,Percent,3,41,3,915.50
118,114,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,42,,,Class G,%,Glacial Mix,,"",1,42,2,81,1,1,,Percent,3,42,3,369.00
309,305,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,88,,,Class G,%,ThixLite HT (SK) ,,"",1,88,2,81,1,1,,Percent,3,87,3,586.00
296,292,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,84,,,Class G,%,THERMAmix EC,,"",1,84,2,81,1,1,,Percent,3,84,3,433.00
302,298,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,87,,,Class G,%,ThixLite HT (AB) ,,"",1,87,2,81,1,1,,Percent,3,86,3,586.00
287,283,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,81,,,Class G,%,SurfLite (SK) ,,"",1,81,2,81,1,1,,Percent,3,81,3,649.00
290,286,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,82,,,Class G,%,Thermal 40,,"",1,82,2,81,1,1,,Percent,3,82,3,714.00
292,288,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,83,,,Class G,%,Thermal 40 EXP,,"",1,83,2,81,1,1,,Percent,3,83,3,680.00
456,450,1,"0","",2018-09-28 18:10:55,1,2017-09-28 18:10:55,9999-12-31 23:59:59,0,196,,,Class G,%,THERMAmix THX,,"",1,196,2,81,1,1,,Percent,3,194,3,350.00
549,542,1,"0","",2018-09-28 18:10:56,1,2017-09-28 18:10:56,9999-12-31 23:59:59,0,240,,,Class G,%,PRODUCTIONmix HZ,,"",1,240,2,81,1,1,,Percent,3,238,3,410.00
556,549,1,"0","",2018-09-28 18:10:56,1,2017-09-28 18:10:56,9999-12-31 23:59:59,0,244,,,Intercem,%,LDP-C-0618,,"",1,244,2,81,1,1,,Percent,4,242,4,750.00
