"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","name","description"
124,123,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,"2:1:8 'G' (Sask) + Additives",
125,124,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,Expandomix + Additives,
126,125,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,EXPANDOmix PRO HT + Additives,
127,126,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,EXPANDOmix PRO LT + Additives,
128,127,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,Expandomix HT + Additives,
129,128,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,Expandomix LWL + Additives,
130,129,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,EXPANDOmix PRO HT (Sask) + Additives,
131,130,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,EXPANDOmix PRO LT (Sask) + Additives,
132,131,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,Expandomix HT (SK) + Additives,
133,132,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,Glacial Mix + Additives,
134,133,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,iBond + Additives,
135,134,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,ASC IV + Additives,
136,135,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,iGain (SK) + Additives,
137,136,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,iGain (AB) + Additives,
138,137,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,iPrime (AB) + Additives,
139,138,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,iPrime (SK) + Additives,
140,139,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,LCS 1600 + Additives,
141,140,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,LCS 1820 + Additives,
142,141,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,LITEmix 1325 (AB) + Additives,
143,142,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,LITEmix 1325 (SK) + Additives,
144,143,1,"0","",2018-09-10 12:01:23,1,2017-09-10 12:01:23,9999-12-31 23:59:59,0,0,LITEmix 1400 (AB) + Additives,
