ID,SYSTEM_ID,Version,MODIFIED_USER_ID,MODIFIED_USER_NAME,MODIFIED_DATE_TIME,OPERATION_TYPE,EFFECTIVE_START_DATETIME,EFFECTIVE_END_DATETIME,ENTITY_STATUS,InventoryNumber,SbsReleaseProductId,PriceUnit,UnitId,Price,ServicePoint
62,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023054,,1,kg,0.55,D612
63,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023054,,1,kg,0.58,D615
64,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023054,,1,kg,0.59,D616
65,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023054,,1,kg,0.59,D617
66,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023054,,1,kg,0.57,D618
67,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023059,,1,kg,12.37,D616
68,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023060,,1,kg,3.88,D600
69,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023060,,1,kg,3.77,D602
70,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023060,,1,kg,3.75,D603
71,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023060,,1,kg,3.8,D604
72,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023060,,1,kg,3.8,D606
73,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023060,,1,kg,3.75,D607
74,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023060,,1,kg,3.82,D612
75,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023060,,1,kg,3.75,D615
76,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023060,,1,kg,4.07,D616
77,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023060,,1,kg,3.75,D617
78,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023060,,1,kg,3.87,D618
79,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023061,,1,l,3.52,D600
80,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023061,,1,l,4.99,D602
81,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023061,,1,l,4.93,D603
82,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023061,,1,l,4.96,D604
83,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023061,,1,l,3.74,D606
84,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023061,,1,l,4.9,D607
