"ID","SYSTEM_ID","version","MODIFIED_USER_ID","MODIFIED_USER_NAME","MODIFIED_DATE_TIME","OPERATION_TYPE","EFFECTIVE_START_DATETIME","EFFECTIVE_END_DATETIME","ENTITY_STATUS","NAME","DESCRIPTION","PriceCode","ISFREIGHTCOSTINCLUDED","ISTHIRDPARTYPROVIDED","INVENTORYNUMBER","SbsReleasedProductId"
103,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"2:1:0 'G' (Sask)","2:1:0 'G' (Sask)",,0,0,,""
104,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"2:1:12 'G'","2:1:12 'G'",,0,0,,""
105,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"2:1:12 'G' (Sask)","2:1:12 'G' (Sask)",,0,0,,""
106,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"2:1:2 'G'","2:1:2 'G'",,0,0,,""
107,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"2:1:2 'G' (Sask)","2:1:2 'G' (Sask)",,0,0,,""
108,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"2:1:4 'G'","2:1:4 'G'",,0,0,,""
109,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"2:1:4 'G' (Sask)","2:1:4 'G' (Sask)",,0,0,,""
110,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"2:1:6 'G'","2:1:6 'G'",,0,0,,""
111,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,"2:1:6 'G' (Sask)","2:1:6 'G' (Sask)",,0,0,,""
112,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,"2:1:8 'G'","2:1:8 'G'",,0,0,,""
113,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,"2:1:8 'G' (Sask)","2:1:8 'G' (Sask)",,0,0,,""
114,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,ASC IV,ASC IV Acid Soluble Cement,113314,0,0,,""
115,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,Expandomix,Expandomix,113040,0,0,,""
116,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,EXPANDOmix PRO HT,EXPANDOmix PRO HT,116441,0,0,,""
117,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,EXPANDOmix PRO HT (Sask),EXPANDOmix PRO HT (Sask),116441,0,0,,""
118,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,EXPANDOmix PRO LT,EXPANDOmix PRO LT,116443,0,0,,""
119,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,EXPANDOmix PRO LT (Sask),EXPANDOmix PRO LT (Sask),116443,0,0,,""
120,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,Expandomix HT,Expandomix HT,113044,0,0,,""
121,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,Expandomix HT (SK),Expandomix HT (SK),113044,0,0,,""
122,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,Expandomix LWL,Expandomix LWL,113042,0,0,,""
123,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,Glacial Mix,Glacial Mix,113411,0,0,,""
124,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,iBond,iBond,113056,0,0,,""
125,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,iGain (SK),iGain (SK),113052,0,0,,""
126,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,iGain (AB),iGain(AB),113052,0,0,,""
127,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,iPrime (AB),iPrime (AB),113014,0,0,,""
128,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,iPrime (SK),iPrime (SK),113014,0,0,,""
129,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,LCS 1600,LCS 1600,113070,0,0,,""
130,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,LCS 1820,LCS 1820,113072,0,0,,""
