"ID","SYSTEM_ID","version","MODIFIED_USER_ID","MODIFIED_USER_NAME","MODIFIED_DATE_TIME","OPERATION_TYPE","EFFECTIVE_START_DATETIME","EFFECTIVE_END_DATETIME","ENTITY_STATUS","NAME","DESCRIPTION"
212,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,LITEmix 1400 (SK),LITEmix 1400 (SK)
213,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,PRODUCTIONmix 1500 PRO,PRODUCTIONmix 1500 PRO
214,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,PRODUCTIONmix 1600,PRODUCTIONmix 1600
215,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,PRODUCTIONmix 1600 (SK),PRODUCTIONmix 1600 (SK)
216,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,PRODUCTIONmix 1725,PRODUCTIONmix 1725
217,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,PRODUCTIONmix LW PRO,PRODUCTIONmix LW PRO
218,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,PRODUCTIONmix THX,PRODUCTIONmix THX
225,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,Superlite 13 (CDM-5),Superlite 13 (CDM-5)
226,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,SUPERLITEmix 1160,SUPERLITEmix 1160
227,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,SUPERLITEmix 1160 (CDM-5),SUPERLITEmix 1160 (CDM-5)
228,"",1,29747,awang,2017-04-07 15:10:46,3,2001-01-01 00:00:00,9999-12-31 00:00:00,0,SUPERLITEmix 1200 HT,SUPERLITEmix 1200 HT
229,"",1,29747,awang,2017-04-07 15:10:56,3,2001-01-01 00:00:00,9999-12-31 00:00:00,0,SUPERLITEmix PRO,SUPERLITEmix PRO
230,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,SURFACEmix LW (AB),SURFACEmix LW (AB)
231,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,SURFACEmix LW (SK),SURFACEmix LW (SK)
232,"",1,29747,awang,2017-04-07 15:11:09,3,2001-01-01 00:00:00,9999-12-31 00:00:00,0,SURFACEmix LW PRO,SURFACEmix LW PRO
233,"",1,29747,awang,2017-04-07 15:11:19,3,2001-01-01 00:00:00,9999-12-31 00:00:00,0,SURFACEmix LW PRO (SK),SURFACEmix LW PRO (SK)
234,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,SURFACEmix PRO,SURFACEmix PRO
235,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,SURFACEmix PRO SL,SURFACEmix PRO SL
237,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,SurfLite (SK),SurfLite (SK)
240,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,THERMAmix LT,THERMAmix LT
242,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,ThixLite HT (SK),ThixLite HT (SK)
243,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,SURFACEmix LW PRO SL,SURFACEmix LW PRO SL
244,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,LDP-C-0117,LDP-C-0117
246,"",1,29747,awang,2017-02-15 12:49:05,3,2001-01-01 00:00:00,9999-12-31 00:00:00,0,Fresh Water,Fresh Water
248,"",1,29747,awang,2017-02-15 12:49:05,1,2001-01-01 00:00:00,9999-12-31 00:00:00,0,Indicator Dye,Indicator Dye
249,"",1,29747,awang,2017-02-15 12:49:05,1,2001-01-01 00:00:00,9999-12-31 00:00:00,0,Mud Flush,Mud Flush
251,"",1,29747,awang,2017-02-15 12:49:05,1,2001-01-01 00:00:00,9999-12-31 00:00:00,0,RP-20,RP-20
252,"",1,29747,awang,2017-03-02 13:35:10,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,Water Wet Max,Water Wet Max
253,"",1,29747,awang,2017-05-11 15:35:19,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,EXPANDOmix PRO LT,EXPANDOmix PRO LT
254,"",1,29747,awang,2017-05-11 15:35:19,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,EXPANDOmix PRO HT,EXPANDOmix PRO HT
255,"",1,29747,awang,2017-05-11 15:35:19,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,PRODUCTIONmix LW,PRODUCTIONmix LW
256,"",1,29747,awang,2017-05-12 14:35:02,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,PRODUCTIONmix EC,PRODUCTIONmix EC
