1:1:2 'G' (Sask),NULL,0.65332092,1.01659837,2.75271697,1646,1350
1:1:4 'G',NULL,0.70854909,1.09971641,2.55645078,1590,1290
1:1:4 'G' (Sask),NULL,0.76250681,1.13365208,2.69436278,1590,1350
1:1:6 'G',NULL,0.79836497,1.19740011,2.50604496,1552,1290
1:1:6 'G' (Sask),NULL,0.85465884,1.23367193,2.6384313,1552,1350
1:1:8 'G',NULL,0.92596246,1.33286542,2.45758841,1505,1290
1:1:8 'G' (Sask),NULL,0.98563213,1.37251304,2.58477473,1505,1350
2:1:12 'G',NULL,1.16302575,1.61572947,2.20895026,1413,1160
2:1:12 'G' (Sask),NULL,1.27714473,1.69649309,2.38465223,1413,1360
2:1:2 'G',NULL,0.62184933,1.03521395,2.41917172,1586,1160
2:1:2 'G' (Sask),NULL,0.71212513,1.09213438,2.63151489,1586,1360
2:1:4 'G',NULL,0.72889312,1.15012557,2.37398614,1538,1160
2:1:4 'G' (Sask),NULL,0.82424733,1.2121244,2.57813642,1538,1360
2:1:6 'G',NULL,0.8480247,1.27712497,2.33045763,1494,1160
2:1:6 'G' (Sask),NULL,0.94890107,1.34464596,2.52688038,1494,1360
2:1:8 'G',NULL,0.94887656,1.38584464,2.28849668,1464,1160
2:1:8 'G' (Sask),NULL,1.0541185,1.45773122,2.47762261,1464,1360
Fresh Water,NULL,1,0,1.06,0,NULL
Wellseal PRO,Wellseal PRO,1,1,1,1000,NULL
LITEmix PRO,NULL,1.54,1.895,2.81690141,1340,NULL
Visweep DM IS,Visweep DM IS,0,4.347,2.19,1125,NULL
PRODUCTIONmix LW (SK),NULL,0.956,1.304,2.87356322,1500,NULL
LDP-C-0119,LDP-C-0119,1.257,1.672,2.41,1350,NULL
SanSeal,SanSeal,0.70289158,1.0320555,3.03800003,1650,1010
