"ID","ROOT_ID","PARENT_ID","BLEND_CHEMICAL_ID","AMOUNT","IS_BASE_BLEND","ADDITION_METHOD","ADDITIVE_BLEND_METHOD","UNIT_NAME","UNIT_ABBR","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME","BLEND_CHEMICAL_NAME"
"94","37","37","32","10","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.5530000","1","2017/9/28 18:10:50.5530000","9999/12/31 23:59:59.9970000","EA-3"
"95","38","38","3","530","1","2","1","Percent","%","1","0","","2018/9/28 18:10:54.7430000","1","2017/9/28 18:10:54.7400000","9999/12/31 23:59:59.9970000","Class G"
"96","38","38","36","325","0","2","1","Percent","%","1","0","","2018/9/28 18:10:54.7470000","1","2017/9/28 18:10:54.7470000","9999/12/31 23:59:59.9970000","Flyash (Sask)"
"97","38","38","30","100","0","2","1","Percent","%","1","0","","2018/9/28 18:10:54.7570000","1","2017/9/28 18:10:54.7570000","9999/12/31 23:59:59.9970000","Densified Fume"
"98","38","38","41","21","0","2","1","Percent","%","1","0","","2018/9/28 18:10:54.7630000","1","2017/9/28 18:10:54.7630000","9999/12/31 23:59:59.9970000","GSS-1"
"99","38","38","67","14","0","2","1","Percent","%","1","0","","2018/9/28 18:10:54.7700000","1","2017/9/28 18:10:54.7700000","9999/12/31 23:59:59.9970000","SCA-1"
"100","38","38","32","10","0","2","1","Percent","%","1","0","","2018/9/28 18:10:54.7800000","1","2017/9/28 18:10:54.7800000","9999/12/31 23:59:59.9970000","EA-3"
"101","39","39","3","593","1","2","1","Percent","%","1","0","","2018/9/28 18:10:50.2630000","1","2017/9/28 18:10:50.2600000","9999/12/31 23:59:59.9970000","Class G"
"102","39","39","35","327","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.2670000","1","2017/9/28 18:10:50.2670000","9999/12/31 23:59:59.9970000","Flyash"
"103","39","39","30","30","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.2800000","1","2017/9/28 18:10:50.2800000","9999/12/31 23:59:59.9970000","Densified Fume"
"104","39","39","27","5","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.2970000","1","2017/9/28 18:10:50.2970000","9999/12/31 23:59:59.9970000","CFR-2"
"105","39","39","20","5","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.3070000","1","2017/9/28 18:10:50.3030000","9999/12/31 23:59:59.9970000","CFL-3"
"106","39","39","31","40","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.3200000","1","2017/9/28 18:10:50.3170000","9999/12/31 23:59:59.9970000","EA-1"
"107","40","40","3","593","1","2","1","Percent","%","1","0","","2018/9/28 18:10:50.3370000","1","2017/9/28 18:10:50.3370000","9999/12/31 23:59:59.9970000","Class G"
"108","40","40","36","327","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.3600000","1","2017/9/28 18:10:50.3570000","9999/12/31 23:59:59.9970000","Flyash (Sask)"
"109","40","40","30","30","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.3770000","1","2017/9/28 18:10:50.3770000","9999/12/31 23:59:59.9970000","Densified Fume"
"110","40","40","27","5","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.3830000","1","2017/9/28 18:10:50.3830000","9999/12/31 23:59:59.9970000","CFR-2"
"111","40","40","20","5","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.3900000","1","2017/9/28 18:10:50.3900000","9999/12/31 23:59:59.9970000","CFL-3"
