"ID","TYPE_INDEX","TYPE_ID","DESCRIPTION","STATUS","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME"
"123","30","4","Breaker - F","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"124","31","4","CaCO3","A","1","29747","awang","2018/3/28 17:01:55.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"125","32","4","CaCl2","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"126","33","4","Caustic Soda","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"127","34","4","CelloFlake","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"128","35","4","CFL-1","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"129","36","4","CFL-2","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"130","37","4","CFL-3","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"131","38","4","CFL-3L","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"132","39","4","CFL-4","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"133","40","4","CFR","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"134","41","4","CFR-2","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"135","42","4","CTI-1","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"136","43","4","D-2","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"137","44","4","D-4","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"138","45","4","DF-1 (water and acids)","A","1","15112","Awang","2017/9/1 15:10:25.0000000","0","1-01/1/0 00:00:00.00000","2017/8/31 15:10:25.0000000"
"139","46","4","DF-3","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"140","47","4","FA-1","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"141","49","4","FA-2","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"142","50","4","Fiber-Block","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"143","51","4","FIBRE-P","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"144","52","4","NaCl","A","1","29747","awang","2018/1/23 10:14:18.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"145","53","4","FMC","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"146","54","4","FRW-1","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"147","55","4","FWCA","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"148","56","4","FWCA-H","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"150","58","4","Gel","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"151","59","4","Gypsum","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"152","60","4","Hematite","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"153","61","4","HTAI-1","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"154","62","4","HTR","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"155","63","4","ICA-1A","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"156","64","4","ICA-5","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"157","65","4","ICA-6","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"158","66","4","ICA-7","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
