"ID","NAME","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME"
"68","SanSeal","1","0","","2018/9/28 18:10:52.0100000","1","2017/9/28 18:10:52.0100000","9999/12/31 23:59:59.9970000"
"69","SanSeal HT","1","0","","2018/9/28 18:10:52.0270000","1","2017/9/28 18:10:52.0270000","9999/12/31 23:59:59.9970000"
"70","SSi","1","0","","2018/9/28 18:10:52.0500000","1","2017/9/28 18:10:52.0500000","9999/12/31 23:59:59.9970000"
"71","Superlite 13","1","0","","2018/9/28 18:10:52.0670000","1","2017/9/28 18:10:52.0670000","9999/12/31 23:59:59.9970000"
"72","Superlite 13 (CDM-5)","1","0","","2018/9/28 18:10:52.1070000","1","2017/9/28 18:10:52.1070000","9999/12/31 23:59:59.9970000"
"73","SUPERLITEmix PRO HT ","1","0","","2018/9/28 18:10:52.1430000","1","2017/9/28 18:10:52.1430000","9999/12/31 23:59:59.9970000"
"74","SUPERLITEmix PRO ","1","0","","2018/9/28 18:10:52.1900000","1","2017/9/28 18:10:52.1900000","9999/12/31 23:59:59.9970000"
"75","SURFACEmix LW (SK) ","1","0","","2018/9/28 18:10:52.2370000","1","2017/9/28 18:10:52.2370000","9999/12/31 23:59:59.9970000"
"76","SURFACEmix LW PRO","1","0","","2018/9/28 18:10:54.6500000","1","2017/9/28 18:10:54.6500000","9999/12/31 23:59:59.9970000"
"77","SURFACEmix LW PRO (SK) ","1","0","","2018/9/28 18:10:52.3500000","1","2017/9/28 18:10:52.3500000","9999/12/31 23:59:59.9970000"
"78","SURFACEmix PRO","1","0","","2018/9/28 18:10:52.3930000","1","2017/9/28 18:10:52.3930000","9999/12/31 23:59:59.9970000"
"79","SURFACEmix PRO SL","1","0","","2018/9/28 18:10:52.4170000","1","2017/9/28 18:10:52.4170000","9999/12/31 23:59:59.9970000"
"80","SURFACEmix SLW","1","0","","2018/9/28 18:10:52.4430000","1","2017/9/28 18:10:52.4430000","9999/12/31 23:59:59.9970000"
"81","SurfLite (SK) ","1","0","","2018/9/28 18:10:52.4670000","1","2017/9/28 18:10:52.4670000","9999/12/31 23:59:59.9970000"
"82","Thermal 40","1","0","","2018/9/28 18:10:52.4970000","1","2017/9/28 18:10:52.4970000","9999/12/31 23:59:59.9970000"
"83","Thermal 40 EXP","1","0","","2018/9/28 18:10:52.5170000","1","2017/9/28 18:10:52.5170000","9999/12/31 23:59:59.9970000"
"84","THERMAmix EC","1","0","","2018/9/28 18:10:52.5570000","1","2017/9/28 18:10:52.5530000","9999/12/31 23:59:59.9970000"
"85","THERMAmix LT","1","0","","2018/9/28 18:10:52.5830000","1","2017/9/28 18:10:52.5830000","9999/12/31 23:59:59.9970000"
"87","ThixLite HT (AB) ","1","0","","2018/9/28 18:10:52.6130000","1","2017/9/28 18:10:52.6100000","9999/12/31 23:59:59.9970000"
"88","ThixLite HT (SK) ","1","0","","2018/9/28 18:10:52.6700000","1","2017/9/28 18:10:52.6670000","9999/12/31 23:59:59.9970000"
"89","SURFACEmix LW PRO SL","1","0","","2018/9/28 18:10:52.7270000","1","2017/9/28 18:10:52.7270000","9999/12/31 23:59:59.9970000"
"90","LDP-C-0117","1","0","","2018/9/28 18:10:52.8170000","1","2017/9/28 18:10:52.8170000","9999/12/31 23:59:59.9970000"
"91","SUPERLITEmix 1160","1","0","","2018/9/28 18:10:52.8570000","1","2017/9/28 18:10:52.8570000","9999/12/31 23:59:59.9970000"
