"ID","TYPE_INDEX","TYPE_ID","DESCRIPTION","STATUS","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME"
"317","81","5","Cutter-D","A","1","15112","Awang","2017/8/29 11:22:44.0000000","0","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"318","84","5","N2","A","1","15112","Awang","2017/8/29 11:22:44.0000000","0","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"319","85","5","Produced Water","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"320","86","5","KCl Water","A","1","15112","Awang","2017/8/29 11:22:44.0000000","0","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"321","87","5","Frac Fluid","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"322","88","5","Invert Mud","A","1","1281","mge","2008/7/7 09:16:06.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"324","90","5","iZone","A","4","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"325","91","5","iGain(AB)","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"326","92","5","iThix","A","4","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"327","93","5","iBond","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"71065","95","5","iPrime (AB)","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 23:59:59.0000000"
"71066","96","5","Litefill 1400 LT","A","4","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71068","98","5","Litefill 1400 HT","A","4","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71069","97","5","Litefill 1400 MT","A","4","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71070","99","5","Litefill 1450 LT","A","4","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71071","100","5","Litefill 1450 MT","A","4","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71072","101","5","Litefill 1450 HT","A","4","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71073","102","5","Litefill 1500 LT","A","4","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71074","103","5","Litefill 1500 MT","A","4","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71075","104","5","Litefill 1500 HT","A","4","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71076","105","5","Litefill 1550 LT","A","4","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71077","106","5","Litefill 1550 MT","A","4","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71078","107","5","Litefill 1550 HT","A","4","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71180","108","5","LCS 1820","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"71181","109","5","LDP-C-305","A","1","15112","Awang","2017/8/29 11:22:44.0000000","0","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71182","110","5","Proteus Pro","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"71183","111","5","Proteus Core","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"71184","112","5","Prolite 14","A","4","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71185","113","5","SanSeal","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"71186","114","5","SanSeal HT","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"71187","115","5","ASC IV","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"71190","118","5","LDP-C-087","A","1","15112","Awang","2017/8/29 11:22:44.0000000","0","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71191","119","5","LDP-C-047","A","1","15112","Awang","2017/8/29 11:22:44.0000000","0","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71192","120","5","SurfLite","A","4","15112","Awang","2017/8/29 11:54:14.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:54:14.0000000"
"71295","121","5","ProLite 13","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71532","122","5","0-1-0 H","A","2","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71533","123","5","LCS 1600","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"71534","124","5","ProLite 12","A","2","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71535","125","5","SanLite","A","2","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71536","126","5","SanTail","A","2","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71537","127","5","SanTail WB","A","2","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71538","128","5","1:1:0 Poz:Type III","A","2","15112","Awang","2017/8/29 11:22:44.0000000","3","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71549","129","5","Control Set C","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71550","130","5","0:1:0 Type III","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71551","131","5","WBL","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"71552","132","5","WBL II","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000075","133","5","1:1:2 H","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000076","134","5","1:5:8 A","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000119","135","5","1-1-2 H","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000450","136","5","SURFACEmix PRO","","2","15112","Awang","2017/8/29 11:23:06.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:23:06.0000000"
"1000451","137","5","SURFACEmix LW","","2","15112","Awang","2017/8/29 11:51:29.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:51:29.0000000"
"1000452","138","5","PRODUCTIONmix 1600","","2","15112","Awang","2017/8/29 11:23:06.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:23:06.0000000"
"1000453","139","5","Proteus FM","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000454","140","5","Proteus GLS","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000455","141","5","Proteus LCS","","1","154277","KMaher","2014/11/4 13:40:18.0000000","1","1-01/1/0 00:00:00.00000","9999/12/31 23:59:59.0000000"
"1000456","142","5","SURFACEmix SLW","","1","154277","KMaher","2014/11/4 13:40:29.0000000","1","1-01/1/0 00:00:00.00000","9999/12/31 23:59:59.0000000"
"1000457","143","5","THERMAmix EC","","1","154277","KMaher","2014/11/4 13:40:40.0000000","1","1-01/1/0 00:00:00.00000","9999/12/31 23:59:59.0000000"
"1000458","144","5","LITEmix 1400","","1","154277","KMaher","2014/11/4 13:40:51.0000000","1","1-01/1/0 00:00:00.00000","9999/12/31 23:59:59.0000000"
