ID,SbsReleasedProductId,ServicePoint,Price,PriceUnit,UnitId
222,IIN023117,D603,8.86,1,l
223,IIN023117,D604,8.86,1,l
224,IIN023117,D607,10.11,1,l
225,IIN023117,D612,8.21,1,l
226,IIN023117,D615,8.8,1,l
227,IIN023117,D617,8.69,1,l
228,IIN023119,D603,0.66,1,kg
229,IIN023119,D604,0.65,1,kg
230,IIN023119,D606,0.62,1,kg
231,IIN023119,D607,0.59,1,kg
232,IIN023119,D612,0.71,1,kg
233,IIN023119,D615,0.97,1,kg
234,IIN023119,D616,1.07,1,kg
235,IIN023119,D617,0.67,1,kg
236,IIN023122,D602,0.52,1,kg
237,IIN023122,D603,0.52,1,kg
238,IIN023122,D604,0.52,1,kg
239,IIN023122,D606,0.52,1,kg
240,IIN023122,D607,0.53,1,kg
241,IIN023122,D612,0.52,1,kg
242,IIN023122,D615,0.53,1,kg
243,IIN023122,D616,0.67,1,kg
244,IIN023122,D617,0.52,1,kg
245,IIN023129,D604,11.85,1,kg
246,IIN023129,D612,11.85,1,kg
247,IIN023130,D603,9.57,1,kg
248,IIN023130,D604,8.98,1,kg
249,IIN023130,D612,9.57,1,kg
250,IIN023131,D600,5.5,1,kg
251,IIN023131,D602,5.5,1,kg
252,IIN023131,D603,5.5,1,kg
253,IIN023131,D604,5.5,1,kg
254,IIN023131,D606,5.56,1,kg
255,IIN023131,D607,5.51,1,kg
256,IIN023131,D612,5.5,1,kg
257,IIN023131,D615,5.88,1,kg
258,IIN023131,D616,5.5,1,kg
259,IIN023131,D617,5.5,1,kg
260,IIN023132,D604,9.8,1,kg
261,IIN023132,D615,9.8,1,kg
262,IIN023146,D600,1.57,1,kg
263,IIN023146,D602,1.41,1,kg
264,IIN023146,D603,1.82,1,kg
265,IIN023146,D604,1.58,1,kg
266,IIN023146,D606,1.83,1,kg
267,IIN023146,D607,1.41,1,kg
268,IIN023146,D612,1.89,1,kg
269,IIN023146,D615,1.83,1,kg
270,IIN023146,D616,1.44,1,kg
271,IIN023146,D617,1.45,1,kg
272,IIN023146,D618,1.45,1,kg
273,IIN023147,D602,0.38,1000,kg
274,IIN023147,D603,0.38,1000,kg
275,IIN023147,D604,0.42,1000,kg
276,IIN023147,D606,0.36,1000,kg
277,IIN023147,D607,0.37,1000,kg
278,IIN023147,D612,0.36,1000,kg
279,IIN023147,D615,0.45,1000,kg
280,IIN023147,D616,0.42,1000,kg
281,IIN023147,D617,0.42,1000,kg
282,IIN023148,D604,0.83,1,kg
283,IIN023148,D616,1.15,1,kg
284,IIN023148,D617,0.92,1,kg
285,IIN023153,D604,2.69,1,kg
286,IIN023153,D615,2.7,1,kg
287,IIN023154,D604,2.88,1,l
288,IIN023155,D616,3.65,1,l
289,IIN023166,D602,3.3,1,l
290,IIN023166,D603,3.3,1,l
291,IIN023166,D604,3.3,1,l
292,IIN023166,D607,3.3,1,l
293,IIN023166,D612,3.3,1,l
294,IIN023166,D615,3.34,1,l
295,IIN023166,D616,3.44,1,l
296,IIN023166,D617,3.19,1,l
297,IIN023171,D602,0.4,1,kg
298,IIN023171,D603,0.4,1,kg
299,IIN023171,D604,0.4,1,kg
300,IIN023171,D606,0.39,1,kg
301,IIN023171,D607,0.38,1,kg
302,IIN023171,D612,0.39,1,kg
303,IIN023171,D615,0.41,1,kg
304,IIN023171,D616,0.38,1,kg
305,IIN023171,D617,0.38,1,kg
306,IIN023178,D602,5.34,1,kg
307,IIN023178,D604,5.53,1,kg
308,IIN023178,D606,5.26,1,kg
309,IIN023178,D607,5.27,1,kg
310,IIN023178,D612,5.4,1,kg
311,IIN023178,D615,5.45,1,kg
312,IIN023179,D600,7.89,1,kg
313,IIN023179,D602,9.6,1,kg
314,IIN023179,D603,7.88,1,kg
315,IIN023179,D604,8.04,1,kg
316,IIN023179,D606,7.87,1,kg
317,IIN023179,D607,7.88,1,kg
318,IIN023179,D612,9.23,1,kg
319,IIN023179,D615,8.66,1,kg
320,IIN023179,D616,7.88,1,kg
321,IIN023179,D617,7.87,1,kg
322,IIN023179,D618,7.88,1,kg
323,IIN023182,D616,4.98,1,l
324,IIN023188,D602,0.33,1,kg
325,IIN023188,D603,0.31,1,kg
326,IIN023188,D604,0.39,1,kg
327,IIN023188,D607,0.32,1,kg
328,IIN023188,D612,0.31,1,kg
329,IIN023188,D616,0.31,1,kg
330,IIN023188,D617,0.31,1,kg
331,IIN023189,D604,0.61,1,kg
332,IIN023192,D600,2.8,1,kg
333,IIN023192,D604,2.76,1,kg
334,IIN023192,D612,2.8,1,kg
335,IIN023192,D615,2.72,1,kg
336,IIN023193,D604,2.95,1,kg
337,IIN023193,D606,2.83,1,kg
338,IIN023193,D607,2.83,1,kg
339,IIN023193,D612,2.82,1,kg
340,IIN023194,D602,2.23,1,l
