"ID","NAME","DESCRIPTION","PRODUCT_ID","PRODUCT_NAME","BLEND_RECIPE_ID","BLEND_RECIPE_NAME","IS_BASE_BLEND_ELIGIBLE","BLEND_FLUID_TYPE_ID","BLEND_FLUID_TYPE_NAME","IS_ADDITIVE_ELIGIBLE","ADDITIVE_TYPE_ID","ADDITIVE_TYPE_NAME","SPECIFIC_GRAVITY","MIX_WATER","YIELD","DENSITY","IS_THIXOTROPIC","BAGSIZE","AERCODE","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME","BLEND_PRI_CAT_ID","BLEND_PRI_CAT_NAME"
"233","Proteus Core + Additives","","238","Proteus Core + Additives","156","Proteus Core + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.7170000","1","2017/9/28 18:10:46.7170000","9999/12/31 23:59:59.9970000","",""
"234","SanSeal + Additives","","240","SanSeal + Additives","160","SanSeal + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.7870000","1","2017/9/28 18:10:46.7870000","9999/12/31 23:59:59.9970000","",""
"235","SanSeal HT + Additives","","241","SanSeal HT + Additives","161","SanSeal HT + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.8070000","1","2017/9/28 18:10:46.8070000","9999/12/31 23:59:59.9970000","",""
"236","SSi + Additives","","242","SSi + Additives","162","SSi + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.8170000","1","2017/9/28 18:10:46.8170000","9999/12/31 23:59:59.9970000","",""
"237","Superlite 13 + Additives","","243","Superlite 13 + Additives","163","Superlite 13 + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.8300000","1","2017/9/28 18:10:46.8270000","9999/12/31 23:59:59.9970000","",""
"238","Superlite 13 (CDM-5) + Additives","","244","Superlite 13 (CDM-5) + Additives","164","Superlite 13 (CDM-5) + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.8370000","1","2017/9/28 18:10:46.8370000","9999/12/31 23:59:59.9970000","",""
"239","SUPERLITEmix PRO HT + Additives","","245","SUPERLITEmix PRO HT + Additives","165","SUPERLITEmix PRO HT + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.8500000","1","2017/9/28 18:10:46.8500000","9999/12/31 23:59:59.9970000","",""
"240","SUPERLITEmix PRO + Additives","","246","SUPERLITEmix PRO + Additives","166","SUPERLITEmix PRO + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.8630000","1","2017/9/28 18:10:46.8630000","9999/12/31 23:59:59.9970000","",""
"241","SURFACEmix LW (SK) + Additives","","247","SURFACEmix LW (SK) + Additives","167","SURFACEmix LW (SK) + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.8730000","1","2017/9/28 18:10:46.8730000","9999/12/31 23:59:59.9970000","",""
"242","SURFACEmix LW PRO (SK) + Additives","","248","SURFACEmix LW PRO (SK) + Additives","168","SURFACEmix LW PRO (SK) + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.8830000","1","2017/9/28 18:10:46.8830000","9999/12/31 23:59:59.9970000","",""
