"ID","NAME","DESCRIPTION","INVENTORY_NUMBER","PRICE_CODE","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME"
"72","Sanseal","Sanseal","IIN023192","113117","1","0","","2018/9/28 18:10:38.4430000","1","2017/9/28 18:10:38.4400000","9999/12/31 23:59:59.9970000"
"73","SCA-1","SCA-1","IIN023102","113301","1","0","","2018/9/28 18:10:38.4500000","1","2017/9/28 18:10:38.4500000","9999/12/31 23:59:59.9970000"
"74","SCA-5","SCA-5","IIN023171","113305","1","0","","2018/9/28 18:10:38.4600000","1","2017/9/28 18:10:38.4570000","9999/12/31 23:59:59.9970000"
"75","SCA-6","SCA-6","IIN023207","113306","1","0","","2018/9/28 18:10:38.4700000","1","2017/9/28 18:10:38.4670000","9999/12/31 23:59:59.9970000"
"76","SCA-7","SCA-7","IIN023147","113307","1","0","","2018/9/28 18:10:38.4770000","1","2017/9/28 18:10:38.4770000","9999/12/31 23:59:59.9970000"
"77","SG1500 AP1","SG1500 AP1","IIN023200","","1","0","","2018/9/28 18:10:38.4870000","1","2017/9/28 18:10:38.4830000","9999/12/31 23:59:59.9970000"
"78","Silica Flour - 200 Mesh","Silica Flour  - 200 Mesh","IIN054769","113296","1","0","","2018/9/28 18:10:38.4970000","1","2017/9/28 18:10:38.4930000","9999/12/31 23:59:59.9970000"
"79","Silica Fume - Semi-Densified","Silica Fume - Semi-Densified","IIN023098","","1","0","","2018/9/28 18:10:38.5070000","1","2017/9/28 18:10:38.5030000","9999/12/31 23:59:59.9970000"
"80","SPC-II","SPC-II","IIN023212","113220","1","0","","2018/9/28 18:10:38.5170000","1","2017/9/28 18:10:38.5170000","9999/12/31 23:59:59.9970000"
"81","WIE-1","WIE-1","IIN049712","116416","1","0","","2018/9/28 18:10:38.5270000","1","2017/9/28 18:10:38.5230000","9999/12/31 23:59:59.9970000"
"82","0:1:0 'A'","0:1:0 'A'","","113049","1","0","","2018/9/28 18:10:38.5330000","1","2017/9/28 18:10:38.5330000","9999/12/31 23:59:59.9970000"
"83","0:1:0 'C'","0:1:0 'C'","","","1","0","","2018/9/28 18:10:38.5430000","1","2017/9/28 18:10:38.5400000","9999/12/31 23:59:59.9970000"
"84","0:1:0 'G'","0:1:0 'G'","","113000","1","0","","2018/9/28 18:10:38.5530000","1","2017/9/28 18:10:38.5500000","9999/12/31 23:59:59.9970000"
"85","0:1:12 'G'","0:1:12 'G'","","113000","1","0","","2018/9/28 18:10:38.5600000","1","2017/9/28 18:10:38.5600000","9999/12/31 23:59:59.9970000"
"86","0:1:2 'G'","0:1:2 'G'","","113000","1","0","","2018/9/28 18:10:38.5970000","1","2017/9/28 18:10:38.5970000","9999/12/31 23:59:59.9970000"
"87","0:1:4 'G'","0:1:4 'G'","","113000","1","0","","2018/9/28 18:10:38.6030000","1","2017/9/28 18:10:38.6030000","9999/12/31 23:59:59.9970000"
"88","0:1:6 'G'","0:1:6 'G'","","113000","1","0","","2018/9/28 18:10:38.6130000","1","2017/9/28 18:10:38.6100000","9999/12/31 23:59:59.9970000"
"89","0:1:8 'G'","0:1:8 'G'","","113000","1","0","","2018/9/28 18:10:38.6200000","1","2017/9/28 18:10:38.6170000","9999/12/31 23:59:59.9970000"
"90","1:1:0 'G'","1:1:0 'G'","","113002","1","0","","2018/9/28 18:10:38.6270000","1","2017/9/28 18:10:38.6270000","9999/12/31 23:59:59.9970000"
"91","1:1:0 'G' (Sask)","1:1:0 'G' (Sask)","","113002","1","0","","2018/9/28 18:10:38.6370000","1","2017/9/28 18:10:38.6330000","9999/12/31 23:59:59.9970000"
"92","1:1:12 'G'","1:1:12 'G'","","113002","1","0","","2018/9/28 18:10:38.6600000","1","2017/9/28 18:10:38.6530000","9999/12/31 23:59:59.9970000"
"93","1:1:12 'G' (Sask)","1:1:12 'G' (Sask)","","113002","1","0","","2018/9/28 18:10:38.7030000","1","2017/9/28 18:10:38.6930000","9999/12/31 23:59:59.9970000"
"94","1:1:2 'G'","1:1:2 'G'","","113002","1","0","","2018/9/28 18:10:38.7400000","1","2017/9/28 18:10:38.7370000","9999/12/31 23:59:59.9970000"
"95","1:1:2 'G' (Sask)","1:1:2 'G' (Sask)","","113002","1","0","","2018/9/28 18:10:38.7830000","1","2017/9/28 18:10:38.7730000","9999/12/31 23:59:59.9970000"
"96","1:1:4 'G'","1:1:4 'G'","","113002","1","0","","2018/9/28 18:10:38.8500000","1","2017/9/28 18:10:38.8330000","9999/12/31 23:59:59.9970000"
"97","1:1:4 'G' (Sask)","1:1:4 'G' (Sask)","","113002","1","0","","2018/9/28 18:10:38.8930000","1","2017/9/28 18:10:38.8900000","9999/12/31 23:59:59.9970000"
"98","1:1:6 'G'","1:1:6 'G'","","113002","1","0","","2018/9/28 18:10:38.9000000","1","2017/9/28 18:10:38.8970000","9999/12/31 23:59:59.9970000"
"99","1:1:6 'G' (Sask)","1:1:6 'G' (Sask)","","113002","1","0","","2018/9/28 18:10:38.9070000","1","2017/9/28 18:10:38.9070000","9999/12/31 23:59:59.9970000"
"100","1:1:8 'G'","1:1:8 'G'","","113002","1","0","","2018/9/28 18:10:38.9170000","1","2017/9/28 18:10:38.9130000","9999/12/31 23:59:59.9970000"
"101","1:1:8 'G' (Sask)","1:1:8 'G' (Sask)","","113002","1","0","","2018/9/28 18:10:38.9230000","1","2017/9/28 18:10:38.9200000","9999/12/31 23:59:59.9970000"
"102","2:1:0 'G'","2:1:0 'G'","","","1","0","","2018/9/28 18:10:38.9300000","1","2017/9/28 18:10:38.9300000","9999/12/31 23:59:59.9970000"
"103","2:1:0 'G' (Sask)","2:1:0 'G' (Sask)","","","1","0","","2018/9/28 18:10:38.9370000","1","2017/9/28 18:10:38.9370000","9999/12/31 23:59:59.9970000"
"104","2:1:12 'G'","2:1:12 'G'","","","1","0","","2018/9/28 18:10:38.9470000","1","2017/9/28 18:10:38.9470000","9999/12/31 23:59:59.9970000"
