id,name,BulkDensity
531,SURFACEmix LW PRO (SK) X,1.06
529,SURFACEmix LW PRO X,1.026
527,SURFACEmix PRO X,1.22
523,THERMAmix SLW 5K,0
77,0:1:0 'C',1510
403,SUPERLITEmix 1160 C,0
451,SURFACEmix LW PRO EST,1.032
509,ECOcem,1410
2,Class C,0
107,2:1:8 'G' (Sask),1360
97,2:1:0 'G' (Sask),1360
96,2:1:0 'G',1160
101,2:1:2 'G' (Sask),1360
100,2:1:2 'G',1160
103,2:1:4 'G' (Sask),1360
102,2:1:4 'G',1160
105,2:1:6 'G' (Sask),1360
104,2:1:6 'G',1160
106,2:1:8 'G',1160
99,2:1:12 'G' (Sask),1360
98,2:1:12 'G',1160
439,LDP-C-0119,0
4,Intercem,0
543,SUPERLITEmix 1160 5K,0
545,PRODUCTIONmix LW X,1.026
