Id,NAME,RIG_NO,DRILLINGCOMPANY_ID,DRILLINGCOMPANY_NAME,STATUS,IS_SERVICE_RIG,IS_DELETED,IS_TOP_DRIVE,SIZE_TYPE_VALUE,SIZE_TYPE_UNIT,RIG_SIZE_TYPE_ID,RIG_SIZE_TYPE_NAME,THREAD_TYPE_ID,THREAD_TYPE_NAME,VERSION,LAST_MODIFIED_USER_ID,LAST_MODIFIED_USER_NAME,LAST_MODIFIED_DATE_TIME,LAST_OPERATION_TYPE,EFFECTIVE_START_DATE_TIME,EFFECTIVE_END_DATE_TIME
73,Ensign 361,361,30095,Ensign Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
74,Ensign 544,544,30095,Ensign Drilling Inc.,0,0,0,1,101.6,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
75,Ensign 557,557,30095,Ensign Drilling Inc.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
76,Ensign 651,651,30095,Ensign Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
77,Essential  1129,1129,30167,Essential Well Service,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
78,Ex-Cel 2,2,30017,Ex-Cel Well Servicing Ltd.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
79,Ex-Cel 3,3,30017,Ex-Cel Well Servicing Ltd.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
80,Excalibur 10,10,30096,Excalibur Drilling Ltd.,0,0,0,1,101.6,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
81,Extreme 3,3,30179,Extreme Drilling Inc,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
82,Fox 1,1,30169,Fox Drilling Inc,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
83,Global 40,40,30020,Global Petroleum Group-Caterpiller,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
84,Grimes 2,2,30022,Grimes Well Servicing Ltd.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
85,Grimes 5,5,30022,Grimes Well Servicing Ltd.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
86,Grimes 6,6,30022,Grimes Well Servicing Ltd.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
87,High Arctic 64,64,30099,High Arctic Energy Services LP,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
88,Horizon 11,11,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
89,Horizon 14,14,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
90,Horizon 16,16,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
91,Horizon 19,19,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
92,Horizon 2,2,30100,Horizon Drilling Inc.,0,0,0,1,101.6,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
93,Horizon 21,21,30100,Horizon Drilling Inc.,0,0,0,1,101.6,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
94,Horizon 23,23,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
95,Horizon 3,3,30100,Horizon Drilling Inc.,0,0,0,1,101.6,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
96,Horizon 30,30,30100,Horizon Drilling Inc.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
97,Horizon 34,34,30100,Horizon Drilling Inc.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
98,Horizon 37,37,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
99,Horizon 39 ,39,30100,Horizon Drilling Inc.,0,0,0,1,101.6,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
100,Horizon 4,4,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
101,Horizon 47,47,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
102,Horizon 5,5,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
103,Horizon 52,52,30100,Horizon Drilling Inc.,0,0,0,1,101.6,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
104,Horizon 55,55,30100,Horizon Drilling Inc.,0,0,0,1,101.6,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
105,Horizon 61,61,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
106,Horizon 7,7,30100,Horizon Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
107,Ironhand 5,5,30102,Ironhand Drilling Inc,0,0,0,1,101.6,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
108,Ironhand 6,6,30102,Ironhand Drilling Inc,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
109,Ironhand 9,9,30102,Ironhand Drilling Inc,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
110,Komat 3,3,30158,Komat Drilling,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
111,Lasso 1,1,30106,Lasso Drilling Corporation,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
112,Lockwell 1,1,30035,Lockwell Servicing Ltd.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
113,Lockwell 4,4,30035,Lockwell Servicing Ltd.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
114,Lockwell 6,6,30035,Lockwell Servicing Ltd.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
115,Mustang 17,17,30040,Mustang Well Services Ltd.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
116,Mustang 6,6,30040,Mustang Well Services Ltd.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
117,Nabors 15,15,30108,Nabors Drilling,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
118,Nabors 3,3,30108,Nabors Drilling,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
119,Nabors 31,31,30108,Nabors Drilling,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
120,Nabors 5,5,30108,Nabors Drilling,0,0,0,1,114.3,,3,Double,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
121,Nabors 58,58,30108,Nabors Drilling,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
122,Nabors 67,67,30108,Nabors Drilling,0,0,0,1,114.3,,3,Double,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
123,Nabors 70,70,30108,Nabors Drilling,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
124,Nabors 77,77,30108,Nabors Drilling,0,0,0,1,101.6,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
125,Pantera 147,147,30111,Pantera Drilling Inc.,0,0,0,0,,,2,Single,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
126,Pantera 2,2,30111,Pantera Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
127,Panther 2,2,30112,Panther Drilling Corp.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
128,Patterson 15,15,30140,Patterson-UTI Drilling,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
129,Patterson 16,16,30140,Patterson-UTI Drilling,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
130,Patterson 811,811,30140,Patterson-UTI Drilling,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
131,Perform 1,1,30043,Performance Well Servicing Ltd.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
132,Perform 3,3,30043,Performance Well Servicing Ltd.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
133,Pimee 1,1,30044,Pimee Well Servicing Ltd.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
134,Pimee 2,2,30044,Pimee Well Servicing Ltd.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
135,Pimee 3,3,30044,Pimee Well Servicing Ltd.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
136,Pimee 4,4,30044,Pimee Well Servicing Ltd.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
137,Pimee 5,5,30044,Pimee Well Servicing Ltd.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
138,Pimee 6,6,30044,Pimee Well Servicing Ltd.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
139,Pimee 7,7,30044,Pimee Well Servicing Ltd.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
140,Pimee 9,9,30044,Pimee Well Servicing Ltd.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
141,PD 116,116,10203,Precision Drilling,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
