Bulk Plant,Bin Name,Bin Description,Volum(M3)
EDM Bulk Plant,P-tank 1973,1772 Bin - P -Tank,30
EDM Bulk Plant,P-tank 1815,1772 Bin - P -Tank,30
EDM Bulk Plant,P-tank 2079,1772 Bin - P -Tank,30
EDM Bulk Plant,2107-1,2107 Lay Down Skid,83.7
EDM Bulk Plant,2107-2,2107 Lay Down Skid,83.7
EDM Bulk Plant,2107-3,2107 Lay Down Skid,83.7
EDM Bulk Plant,2048-1,2048 Lay Down Skid,83.7
EDM Bulk Plant,2048-2,2048 Lay Down Skid,83.7
EDM Bulk Plant,2048-3,2048 Lay Down Skid,83.7
EDM Bulk Plant,1743-1,1743 Lay Down Skid,83.7
EDM Bulk Plant,1743-2,1743 Lay Down Skid,83.7
EDM Bulk Plant,1743-3,1743 Lay Down Skid,83.7
EDM Bulk Plant,2108-1,2108 Lay Down Skid,83.7
EDM Bulk Plant,2108-2,2108 Lay Down Skid,83.7
EDM Bulk Plant,2108-3,2108 Lay Down Skid,83.7
EDM Bulk Plant,1567-1,1567 Lay Down Skid,83.7
EDM Bulk Plant,1567-2,1567 Lay Down Skid,83.7
EDM Bulk Plant,1567-3,1567 Lay Down Skid,83.7
FSJ Bulk Plant,Silo 2,1711 Silo 1200 Cu Ft,34
FSJ Bulk Plant,Silo 3,1713 Silo 2100 Cu Ft,59.4
FSJ Bulk Plant,Silo 4,1554 Silo 2100 Cu Ft,59.4
FSJ Bulk Plant,Silo 5,1530 Silo 2100 Cu Ft,59.4
FSJ Bulk Plant,Silo 6,1679 Silo 2100 Cu Ft,59.4
FSJ Bulk Plant,Silo 7,1754 Silo 2100 Cu Ft,59.4
FSJ Bulk Plant,Silo 8,1981 Silo 500 Cu Ft,14.1
FSJ Bulk Plant,Silo 9,1531 Silo 2100 Cu Ft,59.4
FSJ Bulk Plant,P-tank 1915,1772 Bin - P -Tank,30
FSJ Bulk Plant,P-tank 1954,1772 Bin - P -Tank,30
FSJ Bulk Plant,Mega 2124,2124  Cement Mega Silo,80.7
