ID,NAME,RIG_NO,RIG_SIZE_TYPE_CAT,RIG_SIZE_TYPE_ID,RIG_SIZE_TYPE_NAME,DRILLINGCOMPANY_ID,DRILLINGCOMPANY_NAME,STATUS,IS_SERVICE_RIG,IS_DELETED,IS_TOP_DRIVE,SIZE_TYPE_VALUE,SIZE_TYPE_UNIT,THREAD_TYPE_ID,THREAD_TYPE_NAME,THREAD_TYPE_CATEGORY,VERSION,LAST_MODIFIED_USER_ID,LAST_MODIFIED_USER_NAME,LAST_MODIFIED_DATE_TIME,LAST_OPERATION_TYPE,EFFECTIVE_START_DATE_TIME,EFFECTIVE_END_DATE_TIME
118,Pantera Drilling Inc. 147,147,56,2,Single,30111,Pantera Drilling Inc.,0,0,0,0,,,,,,,,,,,,
119,Pantera Drilling Inc. 2,2,56,1,,30111,Pantera Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
120,Panther Drilling Corp. 2,2,56,1,,30112,Panther Drilling Corp.,0,0,0,1,114.3,,4,XH,45,,,,,,,
121,Patterson-UTI Drilling 15,15,56,1,,30140,Patterson-UTI Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
122,Patterson-UTI Drilling 16,16,56,1,,30140,Patterson-UTI Drilling,0,0,0,0,,,,,,,,,,,,
123,Patterson-UTI Drilling 811,811,56,1,,30140,Patterson-UTI Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
124,Performance Well Servicing Ltd. 1,1,56,1,,30043,Performance Well Servicing Ltd.,0,0,0,0,,,,,,,,,,,,
125,Performance Well Servicing Ltd. 3,3,56,1,,30043,Performance Well Servicing Ltd.,0,0,0,0,,,,,,,,,,,,
126,Pimee Well Servicing Ltd. 1,1,56,1,,30044,Pimee Well Servicing Ltd.,0,0,0,1,114.3,,4,XH,45,,,,,,,
127,Pimee Well Servicing Ltd. 2,2,56,1,,30044,Pimee Well Servicing Ltd.,0,0,0,1,114.3,,4,XH,45,,,,,,,
128,Pimee Well Servicing Ltd. 3,3,56,1,,30044,Pimee Well Servicing Ltd.,0,0,0,1,114.3,,4,XH,45,,,,,,,
129,Pimee Well Servicing Ltd. 4,4,56,1,,30044,Pimee Well Servicing Ltd.,0,0,0,1,114.3,,4,XH,45,,,,,,,
130,Pimee Well Servicing Ltd. 5,5,56,1,,30044,Pimee Well Servicing Ltd.,0,0,0,0,,,,,,,,,,,,
131,Pimee Well Servicing Ltd. 6,6,56,1,,30044,Pimee Well Servicing Ltd.,0,0,0,1,114.3,,4,XH,45,,,,,,,
132,Pimee Well Servicing Ltd. 7,7,56,1,,30044,Pimee Well Servicing Ltd.,0,0,0,0,,,,,,,,,,,,
133,Pimee Well Servicing Ltd. 9,9,56,1,,30044,Pimee Well Servicing Ltd.,0,0,0,1,114.3,,4,XH,45,,,,,,,
134,Precision Drilling 116,116,56,1,,30114,Precision Drilling,0,0,0,0,,,,,,,,,,,,
135,Precision Drilling 131,131,56,1,,10203,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
136,Precision Drilling 133,133,56,1,,10203,Precision Drilling,0,0,0,,,,,,,,,,,,,
137,Precision Drilling 147,147,56,2,Single,30114,Precision Drilling,0,0,0,0,,,,,,,,,,,,
138,Precision Drilling 148,148,56,1,,10203,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
139,Precision Drilling 149,149,56,1,,10203,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
140,Precision Drilling 153,153,56,1,,30114,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
141,Precision Drilling 153,153,56,1,,10203,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
142,Precision Drilling 155,155,56,1,,30114,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
143,Precision Drilling 156,156,56,1,,30114,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
144,Precision Drilling 157,157,56,1,,30114,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
145,Precision Drilling 171,171,56,1,,10203,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
