id,name,Yield,Density,BulkDensity,MixWater,SpecificGravity,Bulk Density (T/m3)
134,PRODUCTIONmix EC,0.96557801,1640,0,0.58354793,2.61759493,0.000
135,PRODUCTIONmix EC (Sask),1.00933045,1640,0,0.65530193,2.82463119,0.000
136,PRODUCTIONmix LW,1.261,1500,1210,0.891,2.706,1.210
137,PRODUCTIONmix LW (SK),1.304,1500,0,0.956,2.87356322,0.000
138,PRODUCTIONmix THX ,1.127,1550,1091,0.748,2.675,1.091
139,Proteus Core,0.92635697,1700,1330,0.57480685,2.84454461,1.330
140,Proteus LCS,0.8643948,1750,1320,0.51269091,2.84330094,1.320
141,Proteus Pro,0.89443382,1725,1330,0.54289834,2.84466308,1.330
142,RAS II,0.87839406,1740,1250,0.52840566,2.85723755,1.250
143,SURFACEmix LW PRO + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
144,SanSeal HT,1.30195144,1500,720,0.95292717,2.86513027,0.720
145,SSi,0.87608596,1750,1410,0.53315043,2.91599998,1.410
146,Superlite 13,1.47613446,1300,934.8,0.9189748,1.79481767,0.935
147,Superlite 13 (CDM-5),1.47978,1300,895.6,0.923714,1.79834768,0.896
148,SUPERLITEmix PRO HT ,1.62239786,1200,787,0.94687743,1.48034013,0.787
149,SUPERLITEmix PRO ,1.70190556,1175,730,0.99973903,1.42416358,0.730
150,SURFACEmix LW (SK) ,1.063866689,1600,1170,0.7022,2.764875132,1.170
151,SURFACEmix LW PRO,1.146,1550,1190.5,0.777,2.7100271,1.191
152,SURFACEmix LW PRO (SK),1.185,1550,1200,0.837,2.87356322,1.200
153,SURFACEmix PRO,0.98082176,1700,1220,0.66739699,3.1905583,1.220
154,SURFACEmix PRO SL,0.964,1700,1027,0.639,3.07692308,1.027
155,SURFACEmix SLW,1.399,1200,710.5,0.679,1.38888889,0.711
156,SurfLite (SK) ,0.895741975,1730,1370,0.556,2.889268568,1.370
157,Thermal 40,0.75399987,1885,1350,0.42128975,3.00561943,1.350
158,Thermal 40 EXP,0.81256874,1820,1340,0.4788751,2.99676074,1.340
159,THERMAmix EC,0.831006343,1750,0,0.4542611,2.65431356,0.000
160,THERMAmix LT,0.777286904,1840,1210,0.4302,2.881188428,1.210
162,ThixLite HT (AB) ,1.248627036,1500,1110,0.8729,2.661793937,1.110
163,ThixLite HT (SK) ,1.293,1500,1260,0.939,2.807582723,1.260
164,SURFACEmix LW PRO ESTVN,1.168,1550,0,0.81,2.79329609,0.000
165,LDP-C-0117,1.384,1200,1719,0.661,1.38312586,1.719
166,SUPERLITEmix 1160,2.143617,1160,0,1.486596,1.522020214,0.000
167,0:1:0 'A' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
168,0:1:0 'C' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
169,0:1:0 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
170,0:1:12 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
171,0:1:2 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
172,0:1:4 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
173,0:1:6 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
174,0:1:8 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
175,1:1:0 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
176,1:1:12 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
177,1:1:2 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
178,1:1:4 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
179,1:1:6 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
180,1:1:8 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
181,2:1:0 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
182,2:1:12 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
183,2:1:2 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
184,2:1:4 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
185,2:1:6 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
186,2:1:8 'G' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
187,1:1:0 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
189,1:1:12 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
190,1:1:2 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
191,1:1:4 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
192,1:1:6 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
193,1:1:8 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
194,2:1:0 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
195,2:1:12 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
196,2:1:2 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
197,2:1:4 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
198,2:1:6 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
199,2:1:8 'G' (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
200,Expandomix + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
201,EXPANDOmix PRO HT + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
202,EXPANDOmix PRO LT + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
203,Expandomix HT + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
204,Expandomix LWL + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
205,EXPANDOmix PRO HT (SK) + Additives,0,0,NULL,0,0,#VALUE!
206,EXPANDOmix PRO LT (SK) + Additives,0,0,NULL,0,0,#VALUE!
207,Expandomix HT (SK) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
208,Glacial Mix + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
209,iBond + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
210,ASC IV + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
211,iGain (SK) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
212,iGain(AB) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
213,iPrime (AB) + Additives,0,0,0,0,0,0.000
215,iPrime (SK) + Additives,0,0,0,0,0,0.000
216,LCS 1600 + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
217,LCS 1820 + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
218,LITEmix 1325 (AB) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
219,LITEmix 1325 (SK) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
220,LITEmix 1400 (AB) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
221,LITEmix 1400 (SK) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
222,LITEmix EC + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
223,PRODUCTIONmix 1500 PRO + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
224,PRODUCTIONmix 1600 + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
225,PRODUCTIONmix 1600 (SK) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
226,PRODUCTIONmix 1725 + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
227,Proteus Pro + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
228,PRODUCTIONmix EC + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
229,PRODUCTIONmix EC (Sask) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
230,PRODUCTIONmix LW + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
231,PRODUCTIONmix LW (SK) + Additives,0,0,NULL,0,0,#VALUE!
232,Proteus LCS + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
233,Proteus Core + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
234,SanSeal + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
235,SanSeal HT + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
236,SSi + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
237,Superlite 13 + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
238,Superlite 13 (CDM-5) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
239,SUPERLITEmix PRO HT + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
240,SUPERLITEmix PRO + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
241,SURFACEmix LW (SK) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
242,SURFACEmix LW PRO (SK) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
243,SURFACEmix PRO + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
244,SURFACEmix PRO SL + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
245,SURFACEmix SLW + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
246,SurfLite (SK) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
247,Thermal 40 + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
248,Thermal 40 EXP + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
249,THERMAmix EC + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
250,THERMAmix LT + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
252,ThixLite HT (AB) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
253,ThixLite HT (SK) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
254,SURFACEmix LW PRO ESTVN + Additives,0,0,NULL,0,0,#VALUE!
255,LDP-C-0117 + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
256,SUPERLITEmix 1160 + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
257,0:1:0 'A',0.77584218,1880,1440,0.45858329,3.15199993,1.440
258,PRODUCTIONmix THX + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
259,RAS II + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
260,Sil 1,NULL,NULL,NULL,NULL,NULL,#VALUE!
261,Sil 4,NULL,NULL,NULL,NULL,NULL,#VALUE!
262,SUPERLITEmix 1160x,2.036,1160,0,1.362,1.48367953,0.000
263,SUPERLITEmix 1160x + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
264,SUPERLITEmix 1100x,1.631,1100,0,0.794,1.19474313,0.000
265,SUPERLITEmix 1100x + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
266,LDP-C-0517,1.198,1350,0,0.618,1.72413793,0.000
267,LDP-C-0517 + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
268,THERMAmix SLW,1.2229,1350,1100,0.6509,1.7483,1.100
269,THERMAmix SLW + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
270,THERMAmix PRO,0.918,1700,0,0.56,2.79329609,0.000
271,THERMAmix PRO + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
272,MCR-9L,0,0,0,0,99999,0.000
273,ENVIROmix,0,0,0,0,1,0.000
274,SURFACEmix LW PRO SL (SK),1.172,1550,0,0.817,2.81690141,0.000
275,SURFACEmix LW PRO SL (SK) + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
276,THERMAmix THX,0.779,1840,0,0.434,2.89855072,0.000
277,THERMAmix THX + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
278,SURFACEmix THX,0.94028543,1725,0,0.62199237,3.14175873,0.000
279,SURFACEmix THX + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
281,SUPERLITEmix PRO X,1.509,1200,0,0.81,1.43061516,0.000
282,SUPERLITEmix PRO X + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
284,Visweep,0,0,NULL,1,1.06,#VALUE!
285,Water Wet Max,NULL,NULL,NULL,NULL,1.06,#VALUE!
286,Invert Spacer,0,0,0,0,99999,0.000
287,Mud Flush,NULL,NULL,NULL,NULL,1.06,#VALUE!
288,Indicator Dye,0,0,0,0,99999,0.000
289,Wellseal G,0,0,NULL,0,1.06,#VALUE!
290,Wellseal,NULL,NULL,NULL,NULL,1.06,#VALUE!
291,RP-20,NULL,NULL,NULL,NULL,1.06,#VALUE!
292,One Part Spacer,NULL,NULL,NULL,NULL,1.06,#VALUE!
293,BORAjel,0,0,NULL,0,1.06,#VALUE!
294,WELLBLOCK 'T',0,0,NULL,0,1.06,#VALUE!
295,Fresh Water,0,0,NULL,1,1.06,#VALUE!
296,Base Oil,NULL,NULL,NULL,NULL,1.06,#VALUE!
297,SAPP,0,0,0,0,99999,0.000
298,12/20 Round Sand,0,0,0,0,1.06,0.000
299,AI-4,0,0,0,0,0.99000001,0.000
300,AI-7,0,0,0,0,1.06,0.000
301,AI-8,0,0,0,0,0.980000019,0.000
302,Aqueous Ammonia,0,0,0,0,1.06,0.000
303,ASA-3W,0,0,0,0,1.039000034,0.000
304,ASM-4,0,0,0,0,1.06,0.000
305,ASM-6,0,0,709.3,0,1.3662,0.709
306,B-1008,0,0,0,0,1.06,0.000
307,BE-1,0,0,0,0,99999,0.000
308,Bio-20D,0,0,0,0,99999,0.000
309,Breaker-F,0,0,0,0,1.06,0.000
310,Breaker-O,0,0,0,0,1.06,0.000
311,Buffer F,0,0,0,0,1.06,0.000
312,BX-1LB,0,0,0,0,1.085999966,0.000
313,CaCO3,0,0,0,0,1.06,0.000
314,CAS-1,0,0,0,0,1.08,0.000
315,CDF-3L,0,0,0,0,99999,0.000
316,CDM-10,0,0,0,0,0.5821,0.000
317,CFL-14,0,0,0,0,1.4732,0.000
318,CFL-2,0,0,0,0,1.28,0.000
319,D-2,0,0,0,0,1.149999976,0.000
320,D-4,0,0,0,0,0.955600023,0.000
321,DA-1,0,0,0,0,0.995000005,0.000
322,DF-1,0,0,0,0,1,0.000
323,DG-1,0,0,0,0,1.06,0.000
324,EF-1,0,0,0,0,1.06,0.000
325,HSSW-1,0,0,0,0,1.06,0.000
326,HTAI-4,0,0,0,0,1.06,0.000
327,HTAI-6,0,0,0,0,1.06,0.000
328,HTAI-8,0,0,0,0,1.529999971,0.000
329,ICA-7,0,0,0,0,1.06,0.000
330,ICA-8,0,0,0,0,1.299999952,0.000
331,ICA-8C,0,0,0,0,1.06,0.000
332,IPG-4,0,0,0,0,99999,0.000
333,ISA-1,0,0,0,0,1.06,0.000
334,LCF-6,0,0,0,0,1.06,0.000
335,LCG-12,0,0,0,0,2.65,0.000
336,LCG-13,0,0,0,0,2.6623,0.000
337,LCG-8,0,0,0,0,2.65,0.000
338,LCL-10,0,0,0,0,99999,0.000
339,LCL-7,0,0,0,0,99999,0.000
340,MCR-4,0,0,0,0,2.088,0.000
341,MS-1,0,0,0,0,0.902249992,0.000
342,NaCl (Rock Salt),0,0,0,0,1.06,0.000
343,Napthalene Flakes,0,0,0,0,1.06,0.000
344,OWDA,0,0,0,0,1.06,0.000
345,S-101,0,0,0,0,0.935,0.000
346,SANJET Sand,0,0,0,0,99999,0.000
347,SCC-1L,0,0,0,0,1.100000024,0.000
348,SCC-2L,0,0,0,0,99999,0.000
349,SI-14W,0,0,0,0,1.07,0.000
350,SR-1,0,0,0,0,1.06,0.000
351,SSCI,0,0,0,0,1.06,0.000
352,SSL-2,0,0,0,0,1.06,0.000
353,StimSol 200,0,0,0,0,1.06,0.000
354,Stim-Wett Max I,0,0,0,0,1.06,0.000
355,Stim-Wett Max II,0,0,0,0,1.06,0.000
356,Stim-Wett Max III,0,0,0,0,1.06,0.000
357,Sugar,0,0,0,0,99999,0.000
358,Toluene,0,0,0,0,1.06,0.000
359,WG-1L,0,0,0,0,99999,0.000
360,WG-2BL,0,0,0,0,99999,0.000
361,WG-3L,0,0,0,0,99999,0.000
362,WG-4P,0,0,0,0,99999,0.000
363,WG-6P,0,0,709.3,0,1.38,0.709
364,WG-6ZL,0,0,0,0,1.039999962,0.000
365,WWS-1L,0,0,0,0,99999,0.000
366,WWS-2L,0,0,0,0,99999,0.000
367,WWS-3L,0,0,0,0,99999,0.000
368,WWS-4L,0,0,0,0,99999,0.000
369,SURFACEmix PRO ED,0.957,1700,0,0.627,3.03030303,0.000
370,SURFACEmix PRO ED + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
371,SURFACEmix PRO RD,0.957,1700,0,0.627,3.03030303,0.000
372,SURFACEmix PRO RD + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
373,SURFACEmix PRO GP,0.957,1700,0,0.627,3.03030303,0.000
374,SURFACEmix PRO GP + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
375,SURFACEmix PRO FJ,0.973,1700,0,0.654,3.13479624,0.000
376,SURFACEmix PRO FJ + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
377,SURFACEmix LW PRO ED,1.183,1550,970,0.834,2.862,0.970
378,SURFACEmix LW PRO ED + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
379,SURFACEmix LW PRO GP,1.183,1550,970,0.834,2.862,0.970
380,SURFACEmix LW PRO GP + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
381,SURFACEmix LW PRO RD,1.183,1550,970,0.834,2.862,0.970
382,SURFACEmix LW PRO RD + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
383,Fresh Water + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
384,Base Oil + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
385,WELLBLOCK 'T' + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
386,BORAjel + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
387,One Part Spacer + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
388,RP-20 + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
389,Wellseal + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
390,Wellseal G + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
391,Indicator Dye + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
392,Mud Flush + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
393,Invert Spacer + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
394,Water Wet Max + Additives,0,0,NULL,0,0,#VALUE!
395,Visweep + Additives,0,0,NULL,0,0,#VALUE!
396,Sanjel Blended Acid Systems (S-BAS),0,0,0,0,0,0.000
397,Sanjel Blended Solvent (Bsolv),0,0,0,0,0,0.000
398,HCL 15%,NULL,NULL,NULL,NULL,NULL,#VALUE!
399,HCL 15% + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
400,SURFACEmix LW PRO FSJ,1.183,1550,970,0.834,2.862,0.970
401,SURFACEmix LW PRO FSJ + Additives,0,0,0,0,0,0.000
402,Scavenger,0,0,NULL,0,1,#VALUE!
